"AT2_Marjanovic","Liver_Marjanovic","EMT_Marjanovic","AT1.AT2_Marjaovic","Gastric.Marjanovic","GI_Marjanovic","G2M_Marjanovic","HighlyMixed_Marjanovic"
"Lyz2","Trf","Igfbp4","Ager","Gkn2","Fxyd3","Mcm2","Cldn4"
"Cbr2","Meg3","Fn1","Akap5","Lman1l","Il4ra","Mcm3","F3"
"Chil1","Pf4","Vim","Sparc","Gzme","Tspan1","Stmn1","Procr"
"Hc","Rian","Fxyd5","Col4a3","Akr1c12","Syt8","Parp1","Cldn7"
"Sftpa1","Gm27000","Cpe","Dpysl2","Cldn6","Ttc39a","Psat1","Slc4a11"
"Lamp3","Gstt1","Fbln2","Cldn18","Plgrkt","Mlph","Cks1b","Cars"
"Scd1","Klk13","Fam84a","Timp3","Ddah1","Slc45a3","Mcm5","Asns"
"Mid1ip1","Dmkn","Spp1","Mmp11","Gprc5c","Gsto1","Mcm7","Hmces"
"Entpd1","Gm933","Inhba","Myh14","Hsd17b2","B3gnt3","Pold2","Sgms2"
"Napsa","Il4i1","Lamb1","Gramd2","Guca2a","Rn7sk","Dkc1","Tgif1"
"Chia1","Gjb1","Ctse","Slc44a2","Pcsk7","Gm26809","Dut","Ndrg1"
"Cxcl15","Elf5","Axl","Cryab","Tmem171","Ceacam1","Hist1h2ap","Nupr1"
"Lcn2","Gm29216","Add2","Aqp5","Raet1e","Gstp2","Hmgn2","Nars"
"Acoxl","Col18a1","Ecm1","Sec14l3","Akr1c13","Pcsk6","AI506816","Pvr"
"Elovl1","Cldn2","Dbn1","Akap13","Vil1","Tnfrsf21","Tyms","Gdf15"
"Ppp1r14c","Vkorc1","Capg","Ano1","Igsf9","Prss22","Srm","Epcam"
"Sftpc","Bgn","Lgals1","AC154734.1","Tspan12","0610040J01Rik","Mcm6","Sars"
"Lpcat1","Bpifa1","Gm14005","Fam174b","Dcaf4","Tnfrsf1b","Kpna2","Myc"
"Etv5","Nup214","Timp1","Clic5","Hif3a","Serinc2","Rfc4","Dusp10"
"Slc34a2","Echdc2","Frrs1","Scnn1a","Pparg","Enpp5","Apex1","Atp2b1"
"Nrp1","Fmo2","Tnnt2","Dapk2","Cutal","St8sia6","Cdk1","Ezr"
"Lrg1","Cfi","Aldh1a3","Clic3","Bag2","Nt5e","Ppil1","Clu"
"Fasn","Nrep","Abcb1a","Emp2","Cyp3a13","Ffar4","Vars","Crb3"
"Esam","Apoe","Tspan3","Pdlim2","Gcnt1","Msln","Phgdh","Fosl1"
