Gene,ETOH_DMSO_R1,ETOH_MRTX_R1,Tam_DMSO_R1,Tam_MRTX_R1,ETOH_DMSO_R2,ETOH_MRTX_R2,Tam_DMSO_R2,Tam_MRTX_R2
0610009B22Rik,8.29804756,8.631557448,8.877235058,9.35393488,8.913235953,9.093751142,8.983180493,9.214932725
0610009E02Rik,5.00240685,4.515533794,4.313438592,4.609036562,4.44807662,4.504411093,4.312562184,4.219563117
0610009L18Rik,4.415849969,5.017124303,5.67352925,6.390403164,3.961555469,5.372770085,5.316551158,5.798395178
0610010K14Rik,6.287216867,6.285934293,5.87263428,6.718938889,6.581430141,6.284008579,5.848291035,6.177955339
0610030E20Rik,10.2597483,10.17665009,9.641676471,9.347470462,9.819976571,9.848816697,9.46326221,9.440338145
0610038B21Rik,3.999216326,4.019306936,3.829632355,3.873049614,3.961555469,3.152136624,4.229630007,3.737802088
0610039K10Rik,2.074650594,1.537020172,2.927693521,1.560871642,2.044089349,0.990021039,0,1.865726534
0610040B10Rik,3.999216326,4.737484369,5.378432224,5.846976938,4.963469991,5.372770085,4.788728556,5.407037356
0610040F04Rik,4.180539918,3.393653009,3.247501513,2.554785542,3.961555469,3.888207015,3.304550997,2.434968089
0610040J01Rik,10.80254612,10.51623845,10.84858166,10.89594472,10.70411403,10.68734377,10.89535463,10.90890321
0710001A04Rik,5.878323877,5.786738331,7.762922884,7.423351562,7.023817019,6.38960075,8.412233071,7.404012452
1010001B22Rik,3.086725277,2.74541698,1.530203421,3.289309488,1.029542097,2.305928457,2.114401213,3.009353972
1110002E22Rik,3.086725277,1.94595129,4.16947533,2.968297496,1.624219046,0.990021039,4.788728556,2.434968089
1110002J07Rik,3.086725277,2.936742981,3.829632355,3.666974962,2.857634183,2.305928457,4.047929096,3.737802088
1110002L01Rik,8.43379471,8.665741958,8.900223991,9.08531065,8.601369514,8.771180985,8.898464361,9.054376008
1110003F10Rik,2.892361419,3.1056412,2.255963294,3.137713623,1.624219046,3.681962772,3.132616228,3.159232406
1110004F10Rik,10.55601276,10.63142368,10.5717507,10.74836684,10.83489173,10.74568464,10.6493545,10.7694229
1110006O24Rik,4.180539918,4.253117746,5.089356119,5.094043766,4.377550547,5.068028442,5.003645305,5.407037356
1110013H19Rik,4.486467174,3.518622938,2.927693521,3.966006149,4.86379765,4.068621226,4.141638214,3.737802088
1110019D14Rik,6.027872306,6.482855414,6.994509532,7.671246111,6.467207787,7.067583695,7.08016878,7.540058247
1110020A21Rik,4.850049602,5.058882069,3.922387411,5.009218456,5.378985724,5.150457663,4.788728556,5.18031457
1110025M09Rik,3.791782327,4.515533794,3.624053349,5.745738881,4.054904328,4.624635221,4.952842497,5.281872698
1110028F11Rik,4.092724932,1.94595129,3.509120784,2.968297496,3.63866916,4.373250014,2.443642934,3.830110394
1110035H17Rik,2.401420696,3.932116692,3.247501513,2.77630642,3.222033221,3.566614686,2.114401213,3.63918141
1110038B12Rik,10.72708501,10.30907423,9.840477114,9.887076489,10.71577434,10.57337675,9.817539758,9.547889389
1110038F14Rik,8.934541328,9.353848379,9.322329083,9.740186092,9.633955498,9.631049348,9.295009684,9.630433249
1110046J04Rik,5.620186307,5.950987162,5.128820496,6.113975777,5.378985724,5.934494123,4.788728556,5.821067258
1110059E24Rik,10.35128697,9.945747422,9.603665839,9.136202354,10.30637175,9.97151423,9.516709647,9.244586845
1110059G10Rik,8.126240175,8.142045052,8.121922213,8.585856245,8.450638192,8.616647864,8.074827996,8.45877114
1110065P20Rik,8.017168711,8.378899126,8.364389528,8.780776262,8.433358145,8.60938012,8.359574274,8.599840641
1190005I06Rik,7.052126496,6.371273686,6.972985875,6.834389937,6.878162982,6.580093309,7.068284984,6.665215676
1200007C13Rik,2.074650594,2.74541698,1.530203421,2.554785542,2.368909375,3.152136624,3.304550997,1.466240516
1300002E11Rik,6.557046868,7.175892282,7.393274663,7.975080844,7.397987502,7.687428196,7.339448837,7.645442802
1300014J16Rik,5.681673385,6.232197459,6.047563767,6.304014781,5.266394682,5.534990448,6.055109258,6.312046534
1500002C15Rik,3.999216326,4.836843266,4.313438592,4.287475537,4.142578419,4.228961122,4.047929096,4.682693114
1500011B03Rik,8.984194409,9.177896065,9.296568256,9.61660178,9.455011111,9.66999496,9.229824547,9.376718134
1500015A07Rik,7.605970112,7.702602167,7.711862072,8.467638129,8.2628682,8.144949767,7.633620749,7.830018975
